mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.1630237897237142,0.011313412396281008,0.015822887420654297,0.0017110265763188976,gini,,1,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6143489348934893,0.6129237923792379,0.6143344709897611,0.613869066087496,0.00066843553105788,72
0.14885719617207846,0.015383992838428834,0.01632515589396159,0.003248001836249981,gini,,1,5,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6152115211521152,0.6158490849084909,0.6169973371338558,0.6160193143981539,0.0007389263560614161,69
0.12644100189208984,0.0022414405171004496,0.013944546381632486,0.00018297817824692163,gini,,1,10,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.6218121812181218,0.6200870087008701,0.6230731725612272,0.621657454160073,0.0012239959142347464,63
0.13758055369059244,0.0022480774041397098,0.016603787740071613,0.0036401642956989857,gini,,2,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6182118211821183,0.6179492949294929,0.6168098113490605,0.6176569758202238,0.0006085478558177105,66
0.13309733072916666,0.0029627063560497035,0.00890493392944336,0.0006728115696604716,gini,,2,5,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.6188868886888689,0.6173117311731173,0.6177474402730375,0.6179820200450079,0.0006641039335929307,65
0.13990441958109537,0.00823692395677219,0.011395692825317383,0.0018945876945241345,gini,,2,10,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.6245124512451246,0.6200870087008701,0.6243108427408769,0.6229701008956239,0.002040314836789296,61
0.12730089823404947,0.00284800687551007,0.009388923645019531,0.0009490008482447773,gini,,5,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6270252025202521,0.6298379837983799,0.631699358661816,0.629520848326816,0.0019213476328561795,53
0.11284319559733073,0.004207131073194966,0.00880130132039388,0.0009002899660825832,gini,,5,5,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.6270252025202521,0.6298379837983799,0.631699358661816,0.629520848326816,0.0019213476328561795,53
0.12326367696126302,0.002961456282942043,0.011075735092163086,0.0023010148573508068,gini,,5,10,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.6270252025202521,0.6298379837983799,0.631699358661816,0.629520848326816,0.0019213476328561795,53
0.057476043701171875,0.003047218118910755,0.0055980682373046875,0.0011461791120383443,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6693669366936693,0.6755175517551755,0.6714173198814837,0.6721006027767761,0.002557039048711883,16
0.05707089106241862,0.0020164903916066908,0.009677886962890625,0.003814608587784017,gini,5,1,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6693669366936693,0.6755175517551755,0.6714173198814837,0.6721006027767761,0.002557039048711883,16
0.05811882019042969,0.005653209981705288,0.009155511856079102,0.002804834014986432,gini,5,1,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.6693669366936693,0.6755175517551755,0.6714173198814837,0.6721006027767761,0.002557039048711883,16
0.06319570541381836,0.001457629708401525,0.006605863571166992,0.000696084944356536,gini,5,2,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6693669366936693,0.6755175517551755,0.6714548250384428,0.6721131044957626,0.002553757400596682,10
0.057506958643595375,0.001475310553183849,0.00634765625,0.0012971072611796038,gini,5,2,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.6693669366936693,0.6755175517551755,0.6714548250384428,0.6721131044957626,0.002553757400596682,10
0.05543382962544759,0.0018073752943089725,0.005674203236897786,0.0010394042796973675,gini,5,2,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.6693669366936693,0.6755175517551755,0.6714548250384428,0.6721131044957626,0.002553757400596682,10
0.054253180821736656,0.000747669344500623,0.0066263675689697266,0.0005620027439350814,gini,5,5,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6693669366936693,0.6755175517551755,0.6714548250384428,0.6721131044957626,0.002553757400596682,10
0.05381957689921061,0.0011500268770292452,0.0032734076182047525,0.00231597453430408,gini,5,5,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.6693669366936693,0.6755175517551755,0.6714548250384428,0.6721131044957626,0.002553757400596682,10
0.049439589182535805,0.003583171667216647,0.00856320063273112,0.002069438165790852,gini,5,5,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.6693669366936693,0.6755175517551755,0.6714548250384428,0.6721131044957626,0.002553757400596682,10
0.08258557319641113,0.004017538991751326,0.007589419682820638,0.0019784640681261806,gini,10,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6696294629462947,0.6738673867386739,0.6699921239170386,0.671162991200669,0.0019180193194040156,28
0.08908359209696452,0.007640041016747114,0.0063059329986572266,0.00029727045993728756,gini,10,1,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6698919891989199,0.674017401740174,0.6700671342309568,0.671325508390017,0.0019047985548830513,24
0.08936572074890137,0.005171166227456145,0.007511536280314128,0.002066431921267467,gini,10,1,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.6694419441944195,0.6741674167416741,0.6698045981322431,0.6711379863561122,0.002147240991812352,29
0.08629655838012695,0.000332312111323425,0.006409088770548503,0.0016796065105672752,gini,10,2,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6693294329432943,0.6744299429942995,0.6699171136031205,0.6712254965135714,0.002278552182910799,27
0.08619141578674316,0.005556609719249936,0.007456302642822266,0.001648568064136396,gini,10,2,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.6694794479447945,0.6743924392439244,0.6699171136031205,0.6712630002639465,0.0022200494069837943,26
0.08488353093465169,0.008775790705517834,0.006883541742960612,0.0001594037370993167,gini,10,2,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.6692169216921692,0.6741674167416741,0.6698796084461613,0.671087982293335,0.002194231197890353,30
0.08220465977986653,0.0028137920193977684,0.007210095723470052,0.0008554432333900295,gini,10,5,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6685793579357936,0.673079807980798,0.6698796084461613,0.6705129247875843,0.0018910896053387037,34
0.0819246768951416,0.00046841652733715895,0.008211135864257812,0.0007923459018271099,gini,10,5,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.6685793579357936,0.673079807980798,0.6698796084461613,0.6705129247875843,0.0018910896053387037,34
0.08675773938496907,0.002226080080271163,0.006994565327962239,0.0006062934724193085,gini,10,5,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.6685793579357936,0.673079807980798,0.6698796084461613,0.6705129247875843,0.0018910896053387037,34
0.12466168403625488,0.0025851746284751495,0.008815368016560873,0.0008765434625045288,gini,20,1,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6261626162616262,0.6225247524752475,0.6262611109027492,0.624982826546541,0.001738585901157658,60
0.12354461352030437,0.005977821168073251,0.009849071502685547,0.0015025149574102437,gini,20,1,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6276627662766276,0.626012601260126,0.6282863893785395,0.6273205856384311,0.000959285773801552,57
0.13624397913614908,0.012603884170363958,0.009241580963134766,0.001159549995223133,gini,20,1,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.6316381638163816,0.6286003600360036,0.6332370700971384,0.6311585313165079,0.0019230714233500553,47
0.12693333625793457,0.0021697002520980626,0.010583241780598959,0.0007253891788505161,gini,20,2,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6286378637863786,0.6243624362436243,0.6258860593331583,0.6262954531210537,0.0017692790666466631,59
