mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.5514988899230957,0.022779913602001114,0.03049317995707194,0.0005896417581184507,0.01,3,100,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",0.6722172217221722,0.6741674167416741,0.6722049281776245,0.6728631888804902,0.000922242021100589,88
2.8597416083017984,0.01742766523835141,0.02980939547220866,0.001652669029240254,0.01,3,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6726297629762976,0.6742424242424242,0.6721674230206653,0.6730132034131291,0.0008894483099177437,86
3.102967898050944,0.09050549818171984,0.030325889587402344,0.002448791975986896,0.01,3,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.673004800480048,0.6746549654965497,0.6722799384915426,0.6733132348227134,0.0009938266537077402,84
5.041174570719401,0.03563595867505484,0.051466782887776695,0.0002652108042282727,0.01,3,200,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",0.673079807980798,0.678030303030303,0.672467464276338,0.6745258584291464,0.0024905943300117476,74
5.868078390757243,0.149959951261555,0.050843397776285805,0.0009769340334997729,0.01,3,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.6732673267326733,0.6778052805280528,0.6722799384915426,0.6744508485840894,0.0024059501428322153,76
6.2732307116190595,0.19678637443954242,0.055902560551961265,0.0032157633765295553,0.01,3,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.6731923192319232,0.6782928292829283,0.6721299178637062,0.6745383554595192,0.0026900098432032097,73
7.641340812047322,0.04085027726765596,0.07544374465942383,0.00041297406078029923,0.01,3,300,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.6}",0.6731923192319232,0.6788928892889289,0.673367588043356,0.6751509321880693,0.0026469305490914087,67
8.720166762669882,0.16665706929465926,0.0726312796274821,0.0006789631572145729,0.01,3,300,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.673079807980798,0.6788928892889289,0.6730675467876833,0.6750134146858033,0.002743207366257703,70
9.016376813252768,0.0538764809671233,0.07762797673543294,0.0037270940194776177,0.01,3,300,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.6729297929792979,0.6788928892889289,0.6734425983572742,0.6750884268751669,0.0026982948976734217,69
3.756123145421346,0.06167138181636893,0.05868204434712728,0.0032664308993966187,0.01,5,100,0.6,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.6}",0.6729672967296729,0.6766801680168016,0.6735926189851105,0.6744133612438618,0.0016230766443540163,78
