mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.160616397857666,0.0989750647159453,0.17433897654215494,0.010229856262379813,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",0.6676042604260426,0.6716921692169217,0.6686419382665116,0.6693127893031586,0.0017349890308326307,12
6.26274299621582,0.10707501821539797,0.4976197083791097,0.02264518246164235,0.1,300,"{'learning_rate': 0.1, 'n_estimators': 300}",0.66996699669967,0.6742799279927992,0.670629711585343,0.6716255454259374,0.0018963311706851464,11
10.690993388493856,0.08251671619599846,0.8264519373575846,0.02956779423896657,0.1,500,"{'learning_rate': 0.1, 'n_estimators': 500}",0.670979597959796,0.6743924392439244,0.6713798147245246,0.672250617309415,0.0015232846667758827,9
2.1059682369232178,0.04762019361751884,0.1670056184132894,0.009478533980625705,0.5,100,"{'learning_rate': 0.5, 'n_estimators': 100}",0.6728172817281728,0.6751800180018002,0.6725424745902562,0.673513258106743,0.0011839048811991039,3
6.226234992345174,0.14926520441153682,0.4677747885386149,0.01383110224486701,0.5,300,"{'learning_rate': 0.5, 'n_estimators': 300}",0.673004800480048,0.6756300630063007,0.6731050519446424,0.6739133051436638,0.0012146208621713437,1
10.638844966888428,0.286617844104633,0.7952593167622884,0.03059409930680925,0.5,500,"{'learning_rate': 0.5, 'n_estimators': 500}",0.673042304230423,0.6758175817581759,0.6722049281776245,0.6736882713887411,0.0015439714268700917,2
2.273648262023926,0.04802788299078475,0.16947325070699057,0.013458413134085856,0.8,100,"{'learning_rate': 0.8, 'n_estimators': 100}",0.6716921692169217,0.6745799579957996,0.6727675055320107,0.6730132109149106,0.001191668119134653,5
6.387452046076457,0.24112680795326333,0.441957950592041,0.01996060598418434,0.8,300,"{'learning_rate': 0.8, 'n_estimators': 300}",0.6716921692169217,0.6748424842484249,0.6699171136031205,0.6721505890228223,0.002036734402131361,10
9.85506010055542,0.11240102184384707,0.566727081934611,0.04461616037057226,0.8,500,"{'learning_rate': 0.8, 'n_estimators': 500}",0.6716921692169217,0.6758550855085509,0.6699921239170386,0.6725131262141705,0.0024629328654250052,7
2.1392298539479575,0.07566685790869088,0.16535520553588867,0.0025996663624519994,1.0,100,"{'learning_rate': 1.0, 'n_estimators': 100}",0.6709045904590459,0.6732298229822983,0.6728800210028879,0.6723381448147441,0.0010236857995353874,8
5.673991362253825,0.20704939528243568,0.35981933275858563,0.03787532689209702,1.0,300,"{'learning_rate': 1.0, 'n_estimators': 300}",0.670979597959796,0.6736048604860486,0.6736676292990286,0.6727506959149577,0.0012526175143951605,6
8.104390462239584,0.1712190332148914,0.38253005345662433,0.011337195298952085,1.0,500,"{'learning_rate': 1.0, 'n_estimators': 500}",0.670979597959796,0.6754425442544254,0.6735176086711923,0.6733132502951378,0.0018277115320502588,4
