mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.0292131900787354,1.475263405806457,4.1646201610565186,0.7992150902106058,True,,sqrt,1,2,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6333633363336334,0.6322007200720072,0.636312492967783,0.6339588497911411,0.0017306350077671523,401
6.320620536804199,0.4411080367747958,2.431496540705363,0.2695766070824078,True,,sqrt,1,2,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6334758475847585,0.633063306330633,0.6361249671829876,0.6342213736994596,0.001356539392347621,399
8.557056347529093,0.07514277803492699,3.8064767519632974,1.2805469307044197,True,,sqrt,1,2,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6331758175817582,0.6333633363336334,0.6375876683043918,0.6347089407399279,0.0020370068095745962,397
3.6165361404418945,0.5885114242725201,3.8675036430358887,0.38925716004044386,True,,sqrt,1,5,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6411641164116412,0.639026402640264,0.6425758541799498,0.6409221244106184,0.0014591256867415997,339
5.738234202067058,0.18537762777823183,3.368903398513794,0.09892457569753357,True,,sqrt,1,5,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6427392739273927,0.6393639363936393,0.6435509882608859,0.6418847328606393,0.0018130142784562328,331
8.76736601193746,1.1794045913254814,2.696778138478597,0.16649988354066672,True,,sqrt,1,5,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.6415016501650165,0.6388763876387639,0.6437760192026404,0.6413846856688069,0.0020019753387531905,335
6.536434729894002,0.2619010590703557,2.194643417994181,0.09575871106518863,True,,sqrt,1,10,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.6527527752775277,0.6502775277527753,0.651427071222293,0.651485791417532,0.0010113682557786072,213
6.259315490722656,0.668898519098073,2.9500815073649087,0.6591253204653077,True,,sqrt,1,10,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.6511776177617762,0.6501650165016502,0.6516521021640476,0.6509982454758246,0.0006202078976991519,217
8.831665515899658,0.048969411921890665,2.3254517714182534,0.1630539909292479,True,,sqrt,1,10,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.6517026702670267,0.6512901290129013,0.6521021640475565,0.6516983211091615,0.0003315261787124057,209
4.587470531463623,0.12046096278691663,2.647183418273926,0.15563292599331618,True,,sqrt,2,2,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6485523552355236,0.644014401440144,0.6476390503694258,0.6467352690150311,0.0019597400702922496,295
6.908935785293579,0.45078134835149836,2.6312341690063477,0.4161664894446625,True,,sqrt,2,2,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6473147314731473,0.6438643864386439,0.6471514833289578,0.6461102004135829,0.0015894281564280209,301
7.8725292682647705,0.1969927981892619,3.371049245198568,0.5315708222399439,True,,sqrt,2,2,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.648102310231023,0.6443144314431443,0.6476390503694258,0.646685264014531,0.0016870660402017673,297
4.343834400177002,0.23379548588100735,2.285629987716675,0.14257639059611144,True,,sqrt,2,5,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6491149114911491,0.6455145514551455,0.6483891535086075,0.647672872151634,0.001554658018981196,281
6.609809796015422,0.149049429525326,2.6872219244639077,0.07564621854693487,True,,sqrt,2,5,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.650052505250525,0.6454770477047704,0.6487266999212392,0.6480854176255115,0.0019221750137731995,271
8.006868521372477,0.1337900226253125,2.4092142581939697,0.12942589353003928,True,,sqrt,2,5,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.6493024302430243,0.6461896189618962,0.6482391328807711,0.6479103940285639,0.0012918850420199726,275
4.5561097462972,0.30436786522179654,1.9659658273061116,0.1478572608846027,True,,sqrt,2,10,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6553780378037803,0.6517026702670267,0.6536023703259198,0.6535610261322423,0.0015007472892571091,185
5.307431777318318,0.37501340746483713,2.785757064819336,0.6860300655806841,True,,sqrt,2,10,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.6547029702970297,0.6521527152715272,0.6538649064246334,0.6535735306643967,0.00106132780013696,183
