mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_estimator__min_samples_split,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.034230852127075,0.06254429852399489,0.043730735778808594,0.00511101435517327,4,2,0.5,0.6,50,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.5, 'max_samples': 0.6, 'n_estimators': 50}",0.6677917369835614,0.6690836354544318,0.6734591823977997,0.6708963620452557,0.6670833854231779,0.6696628604608452,0.0022988641783711693,171
2.00455265045166,0.02976507108592625,0.08180570602416992,0.011601610163964493,4,2,0.5,0.6,100,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.5, 'max_samples': 0.6, 'n_estimators': 100}",0.66641665104069,0.6683960495061883,0.6724590573821728,0.6703962995374422,0.6676459557444681,0.6690628026421923,0.002133864728729367,206
4.059811353683472,0.059536239169698135,0.16266860961914062,0.01931293474712821,4,2,0.5,0.6,200,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.5, 'max_samples': 0.6, 'n_estimators': 200}",0.6666666666666666,0.6683335416927116,0.6727090886360795,0.6707088386048256,0.6667708463557944,0.6690377963912155,0.002346404148520231,214
1.228315830230713,0.07086026512368146,0.045782613754272464,0.009753139567864744,4,2,0.5,0.8,50,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.5, 'max_samples': 0.8, 'n_estimators': 50}",0.6671041940121257,0.6693336667083385,0.6730841355169396,0.6713339167395924,0.6673959244905613,0.6696503674935116,0.0022930727393996593,173
2.4733789920806886,0.1889212051260489,0.09441571235656739,0.014492829180208125,4,2,0.5,0.8,100,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.5, 'max_samples': 0.8, 'n_estimators': 100}",0.6666041627601725,0.6683335416927116,0.6721465183147893,0.6703337917239655,0.6673334166770847,0.6689502862337446,0.002031202762048351,223
5.939485311508179,0.44410133632915566,0.21081895828247071,0.014015746771367304,4,2,0.5,0.8,200,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.5, 'max_samples': 0.8, 'n_estimators': 200}",0.6665416588536783,0.6682085260657582,0.6732716589573696,0.6705838229778722,0.6668333541692711,0.6690878042047899,0.0025330315401713936,203
1.8013553619384766,0.18173429043281322,0.06339511871337891,0.007508901702250145,4,2,0.5,1.0,50,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 50}",0.6677292330770673,0.6697712214026753,0.6745843230403801,0.6713964245530691,0.6666458307288411,0.6700254065604067,0.0028079161443633287,164
3.431693267822266,0.27572163705620084,0.11158623695373535,0.018919628422143835,4,2,0.5,1.0,100,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 100}",0.6666041627601725,0.6679584948118514,0.6718964870608826,0.6706463307913489,0.6673959244905613,0.6689002799829634,0.0020222833301038867,232
5.835383701324463,0.27103349225189555,0.19646100997924804,0.005409309077150455,4,2,0.5,1.0,200,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 200}",0.6666041627601725,0.6687085885735717,0.672209026128266,0.671021377672209,0.6662082760345043,0.6689502862337446,0.0023660151517495925,223
1.441543960571289,0.09206290618021434,0.0639500617980957,0.012773182096065075,4,2,0.8,0.6,50,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.8, 'max_samples': 0.6, 'n_estimators': 50}",0.6749796862303894,0.6729591198899862,0.6782097762220277,0.6760845105638205,0.6692711588948619,0.6743008503602171,0.003033809491220431,127
3.023019552230835,0.2047736518750828,0.11171574592590332,0.009629360618925744,4,2,0.8,0.6,100,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.8, 'max_samples': 0.6, 'n_estimators': 100}",0.6754797174823427,0.67420927615952,0.677584698087261,0.6768346043255407,0.6700837604700588,0.6748384113049446,0.0026435077783982268,106
5.43306941986084,0.139458739003485,0.20975894927978517,0.014469817933376641,4,2,0.8,0.6,200,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.8, 'max_samples': 0.6, 'n_estimators': 200}",0.6753547096693543,0.6746468308538567,0.6778347293411676,0.6773346668333542,0.6697087135891987,0.6749759300573863,0.0028890040542098616,95
1.601613187789917,0.04425956602275695,0.053923416137695315,0.0042284995224020246,4,2,0.8,0.8,50,"{'estimator__max_depth': 4, 'estimator__min_samples_split': 2, 'max_features': 0.8, 'max_samples': 0.8, 'n_estimators': 50}",0.6744796549784362,0.6733341667708463,0.6772096512064008,0.6745843230403801,0.6702087760970121,0.6739633144186151,0.00226642214041566,145
